source,text,reply_settings,lang,conversation_id,id,author_id,created_at,public_metrics,search_query,geo,in_reply_to_user_id,referenced_tweets
Hootsuite,ধানের সরবরাহ বৃদ্ধির সাথে পাইকারি সিন্ডিকেট ধানের দাম কমিয়ে দিয়েছে...!| #Aman #Farmers #Good_Yield #Disappointed| http://someurl,everyone,bn,803829288470478848,803829288470478848,716159002074177536,2016-11-30T05:13:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#disappointed,,,
Hootsuite,নেতৃত্বে থাকা মাশরাফি নিজেই মিলাতে পারছেন না উত্তর...!| #Disappointed #Mash #BPL_16 #T20 #Comilla_Victorians| http://someurl,everyone,bn,802745439602769920,802745439602769920,716159002074177536,2016-11-27T05:26:41.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#disappointed,,,
Twitter for Android,"সময় তার মতো ঠিকই অবিরত গড়িয়ে যাচ্ছে,| কিন্তু #কেস্ট দাদু কিছুতেই ধরা দিচ্ছে না ।।| ( #Feeling..........#Disappointed )",everyone,bn,774525068537802752,774525068537802752,496779874,2016-09-10T08:29:00.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#disappointed,"{'place_id': '001aff55522d96c9', 'coordinates': {'type': 'Point', 'coordinates': [90.418922, 23.7743257]}}",,
Twitter Web Client,#obama #tajmahal #disappointed তাজমহল দেখতে না পারা হতাশা এখনও যায়নি ওবামার  http://someurl http://someurl,everyone,bn,726021904998359041,726021904998359041,594676291,2016-04-29T12:14:45.000Z,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",#disappointed,,,
Facebook,আঙ্কেল-অ্যান্টির রোমাঞ্চ তেমন ভাল্লাগলো না :/| | #notAtypical_RohitShettyMovie | #Disappointed :( — watching Dilwale,everyone,bn,678944721612357633,678944721612357633,1318259576,2015-12-21T14:26:50.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#disappointed,,,
Twitter for Android,এদের কাছে জাতি একটা....ছাড়া আর কি আশা করতে পারে!!! #feeling #disappointed http://someurl,everyone,bn,642617268812120064,642617268812120064,2833933669,2015-09-12T08:34:30.000Z,"{'retweet_count': 1, 'reply_count': 3, 'like_count': 2, 'quote_count': 0}",#disappointed,,,
Twitter Web Client,#Sonia #Disappointed #Sashi সংসদ অচল করার কৌশলে আপত্তি জানিয়ে সনিয়ার রোষে শশী তারুর?http://someurl http://someurl,everyone,bn,623883092743159810,623883092743159810,594676291,2015-07-22T15:51:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#disappointed,,,
Mobile Web (M2),সেই অজানার জন্য অনেক কিছুই করতে চাই কিন্তু সেই দেখি অন্যের প্রতি ইন্টরেস্ট দেখাই !! #Disappointed,everyone,bn,521545152612298752,521545152612298752,99072979,2014-10-13T06:17:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#disappointed,,,
Twitter Web Client,@someuser লাভ কি? নতুন দোষ খুজে বের করে @someuser কে তো আবার শাস্তি দিবেই| | #disappointed #BCB #Cricket,everyone,bn,490766568196800512,490772303085441025,64254692,2014-07-20T08:16:49.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#disappointed,,213278292,"[{'type': 'replied_to', 'id': '490766568196800512'}]"
Twitter Web Client,মাঠে যে @someuser একজন প্লেয়ার আছে কে বলবে? -_- Cmon Ozil !! #disappointed,everyone,bn,482200720578330624,482200720578330624,147289561,2014-06-26T16:36:25.000Z,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",#disappointed,,,
Twitter Web Client,বসনিয়া বহুৎ ভালো খেলছে.. এই যদি খেলার অবস্থা হয় তাইলে কোনই আশা নাই সামনে আর.. গ্রুপ পার কইরাই খুশি থাকা লাগবো..  #Disappointed #ArgVBos,everyone,bn,478325856406761474,478325856406761474,431426139,2014-06-15T23:59:05.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",#disappointed,,,
Twitter Web Client,"আর যেখানে খাও না রে ভাই, সপ্ত সাগর পার, শ্যামবাজার এর Tongue Twister এ খেওনা খবরদার !! #disappointed",everyone,bn,441972770075734017,441972770075734017,66604741,2014-03-07T16:24:54.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#disappointed,,,
OS X,এইটা কিছু হইল???? :( #Disappointed,everyone,bn,422200693886164992,422200693886164992,14278297,2014-01-12T02:57:44.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#disappointed,,,
Twitter for Websites,মন খারাপের জন্য একটা কারণই যথেষ্ট। আর সেই একটা কারণ হয়ত আমি পেয়ে গেছি আজ। #Disappointed,everyone,bn,316547008452243456,316547008452243456,143544535,2013-03-26T13:47:42.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#disappointed,,,
Twitter Web Client,"মনটা ভীষণ রকমের খারাপ। কিন্তু এ নিয়ে কোন টুইট দিতে সাহস পাচ্ছি না। দিলেই কে না কে আবার বলে বসবে, খাস মেয়েলি স্ট্যাটাস :s #Disappointed",everyone,bn,293410478179373060,293410478179373060,143544535,2013-01-21T17:31:23.000Z,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",#disappointed,,,
